#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-09-19T20:11:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ba2acb523c60	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/211/24&tab:{J/ApJS/211/24/table1}&key:source=J/ApJS/211/24/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/211/24/table1
#-order=I
#-out=KIC
#-out=Teff
#-out=log(g)
#-out=Mass
#-out=Prot
#-out=e_Prot
#-out=n_Prot
#
#
#RESOURCE=yCat_22110024
#Name: J/ApJS/211/24
#Title: Rotation periods of Kepler MS stars (McQuillan+, 2014)
#Table	J_ApJS_211_24_table1:
#Name: J/ApJS/211/24/table1
#Title: The rotation period measurements for the 34030 stars presented in this work
#Column	KIC	(I8)	Kepler Input Catalog identifier (Cat. V/133)	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	[3197/6499] Star effective temperature	[ucd=phys.temperature.effective]
#Column	log(g)	(F5.2)	[3.5/5.4] Star surface gravity (log)	[ucd=phot.sb]
#Column	Mass	(F7.4)	[0.2/1.3] Star mass (1)	[ucd=phys.mass]
#Column	Prot	(F6.3)	[0.2/70]? Rotation period	[ucd=time.period]
#Column	e_Prot	(F6.3)	[0/51]? Error in Prot	[ucd=stat.error]
#Column	n_Prot	(A3)	Period flag (4)	[ucd=meta.note]
KIC	Teff	log(g)	Mass	Prot	e_Prot	n_Prot
 7185657	5183	 4.58	 0.8816	25.917	 2.370	
 7185757	4780	 4.20	 0.7767	23.935	 0.082	
 7185788	5666	 4.62	 1.0099	19.934	 2.172	
 7186037	5893	 4.57	 1.0748	11.967	 0.166	
 7186059	5965	 4.64	 1.0963	10.419	 0.022	
 7186098	5061	 4.73	 0.8501	19.023	 0.089	
 7186201	4651	 4.48	 0.7421	24.684	 0.411	
 7186213	4808	 4.45	 0.7841	18.925	 0.610	
 7186230	5167	 4.65	 0.8775	21.705	 0.515	
 7186291	4866	 4.62	 0.7993	14.903	 0.194	
 7186502	5966	 4.55	 1.0966	19.320	 4.025	
 7186684	5657	 4.38	 1.0074	20.868	 0.380	
 7186846	5756	 4.52	 1.0351	13.217	 0.073	
 7186950	5244	 4.55	 0.8974	14.872	 0.062	
 7187166	5893	 4.56	 1.0748	22.456	 0.143	
 7187795	4822	 4.46	 0.7878	39.953	 0.532	SM2
 7188204	4836	 4.62	 0.7915	 5.341	 0.004	
 7188223	5228	 4.69	 0.8933	23.367	 0.543	
 7188253	4633	 4.47	 0.7372	28.147	 0.158	
 7188496	4815	 4.60	 0.7859	16.595	 0.064	
 7188508	4828	 4.46	 0.7894	25.334	 0.057	
 7188533	6157	 4.29	 1.1565	11.004	 2.804	SM1
 7188669	4929	 4.39	 0.8158	14.894	 0.173	
 7188847	5380	 4.45	 0.9329	12.445	 0.020	
 7189100	4865	 4.63	 0.7991	14.904	 0.562	
 7189198	5608	 4.33	 0.9939	17.131	 0.039	
 7189231	5075	 4.52	 0.8537	22.113	 0.178	
 7189395	5759	 4.57	 1.0360	 3.709	 0.005	
 7189415	5144	 4.47	 0.8715	29.802	 9.008	
 7189428	5135	 4.35	 0.8692	 8.737	 0.118	
 7189545	5015	 4.65	 0.8381	27.213	 0.598	
 7189801	5199	 4.71	 0.8857	 7.603	 0.013	
 7189825	5311	 4.56	 0.9148	27.571	 0.743	
 7190539	6214	 4.36	 1.1752	 7.916	 0.068	
 7190814	5629	 4.49	 0.9997	 8.896	 0.255	
 7190935	5021	 4.55	 0.8397	 6.483	 0.121	
 7191040	4765	 4.38	 0.7727	34.152	 1.036	
 7191156	5933	 4.55	 1.0867	16.933	 0.220	
 7191523	5604	 4.68	 0.9928	20.350	 0.140	
 7191563	5603	 5.06	 0.9926	 8.998	 0.072	
 7191629	6173	 4.56	 1.1617	14.816	 0.330	
 7192111	6262	 4.38	 1.1914	10.810	 0.212	
 7192217	5423	 4.46	 0.9442	16.141	 0.074	
 7192234	5332	 4.77	 0.9203	21.967	 0.041	
 7192245	4886	 4.18	 0.8046	12.832	 0.207	
 7192527	6043	 4.28	 1.1203	10.666	 0.111	
 7198512	6466	 4.45	 1.2636	 1.254	 0.003	
 7198648	5226	 4.64	 0.8927	 9.434	 0.047	
 7198834	5749	 4.61	 1.0331	 0.570	 0.005	
 7198846	5379	 4.48	 0.9326	 0.570	 0.005	
 7198881	6030	 4.53	 1.1162	 0.570	 0.005	
 7198906	5748	 4.55	 1.0329	 0.570	 0.005	
 7199002	6152	 4.64	 1.1549	 0.570	 0.005	
 7199010	5240	 4.62	 0.8964	 0.570	 0.005	
 7199013	5087	 4.50	 0.8568	 0.570	 0.005	
 7199036	5765	 4.50	 1.0377	 0.570	 0.005	
 7199037	5746	 4.69	 1.0323	 0.570	 0.005	
 7199058	6211	 4.64	 1.1742	 0.570	 0.004	
 7199087	4965	 4.06	 0.8252	 0.570	 0.004	
 7199135	5874	 4.83	 1.0692	 0.570	 0.005	
 7199240	5033	 4.32	 0.8428	 0.570	 0.005	
 7199351	5999	 4.48	 1.1067	16.565	 1.469	
 7199436	5434	 4.76	 0.9472	27.478	 0.867	
 7199814	4427	 4.60	 0.6796	26.173	 0.194	
 7199884	6173	 4.54	 1.1617	23.786	 0.098	
 7200111	5814	 4.31	 1.0517	 6.752	 0.015	
 7200282	5305	 4.25	 0.9133	 7.187	 0.023	
 7200299	4776	 4.21	 0.7756	 8.641	 0.085	
 7200373	6083	 4.63	 1.1328	13.374	 1.553	
 7200408	6013	 4.64	 1.1110	 8.459	 0.029	
 7200457	5713	 4.50	 1.0230	16.428	 0.030	
 7200462	6086	 4.57	 1.1338	 8.256	 0.189	
 7200485	5615	 4.58	 0.9958	10.576	 0.026	
 7200510	5956	 4.44	 1.0936	14.115	 0.142	
 7200731	6018	 4.34	 1.1125	 2.990	 0.007	
 7200860	5451	 4.54	 0.9517	19.896	 0.203	
 7200935	5454	 4.45	 0.9525	19.640	 0.084	
 7201168	5321	 4.36	 0.9175	 9.124	 0.010	
 7201286	5124	 4.55	 0.8663	10.889	 0.083	
 7201289	4945	 4.57	 0.8200	10.861	 0.231	
 7201665	5428	 4.58	 0.9456	 1.034	 0.003	
 7201778	5182	 4.71	 0.8813	24.029	 0.759	
 7201784	5147	 4.46	 0.8723	28.036	 1.516	
 7201931	5095	 4.90	 0.8588	20.893	 3.742	
 7201995	5729	 4.59	 1.0275	 8.683	 0.012	
 7202007	5554	 4.76	 0.9793	20.021	 0.613	
 7202230	5323	 4.83	 0.9180	20.796	 1.032	
 7202537	5556	 4.60	 0.9798	14.112	 0.072	
 7202555	5149	 4.64	 0.8728	20.108	 0.100	
 7202709	6210	 4.19	 1.1739	17.326	 0.029	
 7202801	5643	 4.48	 1.0035	 8.066	 0.095	
 7202882	6034	 4.23	 1.1175	11.490	 0.321	
 7203341	4580	 4.68	 0.7226	27.726	 0.324	
 7203529	5283	 4.65	 0.9075	19.562	 0.210	
 7203628	5926	 4.54	 1.0846	 6.889	 0.007	
 7203835	5760	 4.35	 1.0363	17.162	 0.683	
 7203998	5522	 4.55	 0.9706	11.325	 0.024	
 7204282	5805	 4.59	 1.0491	 3.894	 0.003	
 7204366	5040	 4.88	 0.8446	12.768	 0.055	
 7204464	5906	 4.64	 1.0786	12.779	 0.071	
 7204566	5113	 4.75	 0.8635	27.320	 0.285	
 7204824	5379	 4.99	 0.9326	17.093	 0.071	
 7204825	4990	 4.49	 0.8317	24.918	 0.248	
 7204858	5374	 4.81	 0.9313	28.478	 1.275	
 7204859	5495	 4.65	 0.9634	13.046	 0.113	
 7204907	5447	 4.93	 0.9506	24.692	 1.637	
 7205151	5540	 4.58	 0.9755	25.070	 0.354	
 7205181	5697	 4.61	 1.0185	16.733	 0.271	
 7205193	5752	 4.52	 1.0340	 6.945	 0.078	
 7205339	4600	 4.32	 0.7282	26.502	 0.381	
 7205453	4687	 4.25	 0.7518	15.483	 0.090	
 7205588	5475	 4.49	 0.9580	12.613	 0.020	
 7205980	5944	 4.38	 1.0900	 2.622	 0.005	
 7206167	5698	 4.68	 1.0188	14.341	 0.136	
 7206215	5458	 4.56	 0.9535	 4.954	 0.040	
 7206299	5476	 4.52	 0.9583	21.187	 0.195	
 7206330	5367	 4.37	 0.9295	20.658	 0.117	
 7206350	6003	 4.54	 1.1079	10.883	 0.323	
 7206399	4937	 4.73	 0.8179	22.774	 0.092	
 7206433	5259	 4.80	 0.9013	13.910	 0.116	
 7206604	5385	 4.87	 0.9342	17.365	 0.025	
 7206618	6152	 4.80	 1.1549	 6.765	 0.182	
 7206708	5376	 4.38	 0.9319	25.941	 3.093	
 7206808	6419	 4.86	 1.2464	 3.830	 0.005	
 7206829	5378	 4.55	 0.9324	17.698	 0.162	
 7206837	6100	 4.15	 1.1382	 4.072	 0.005	
 7207013	4672	 4.46	 0.7478	17.061	 0.053	
 7207014	4626	 4.46	 0.7353	15.458	 3.047	
 7207046	6032	 4.64	 1.1169	11.209	 0.112	
 7207056	4808	 4.71	 0.7841	33.539	 0.620	
 7207391	5420	 4.56	 0.9435	18.204	 0.243	
 7207394	5511	 4.58	 0.9677	17.101	 0.056	
 7207486	5566	 4.37	 0.9825	19.236	 0.107	
 7207649	5214	 4.58	 0.8896	10.472	 0.058	
 7207774	5329	 4.09	 0.9195	27.830	 0.491	
 7211135	5518	 4.82	 0.9696	14.257	 0.036	
 7211147	4720	 4.67	 0.7607	13.427	 0.021	
 7211157	5074	 4.59	 0.8534	 1.148	 0.003	
 7211215	5933	 4.19	 1.0867	 2.746	 0.060	
 7211235	5647	 4.94	 1.0046	 4.946	 0.037	
 7211380	6045	 4.34	 1.1209	17.952	 0.413	
 7211575	6224	 4.61	 1.1786	 5.981	 0.067	
 7211594	6029	 4.20	 1.1159	20.922	 0.118	
 7211712	4661	 4.42	 0.7448	27.085	 5.267	
 7211789	6251	 4.57	 1.1876	 2.718	 0.049	
 7212091	4848	 4.31	 0.7946	16.745	 0.048	
 7212151	5032	 4.36	 0.8426	23.842	 0.026	
 7212207	5244	 4.50	 0.8974	25.074	 0.422	
 7212293	5431	 4.32	 0.9464	 6.850	 0.042	
 7212478	5251	 4.34	 0.8992	31.978	 0.822	
 7212612	5899	 4.55	 1.0766	12.415	 0.244	
 7212764	5298	 4.70	 0.9115	23.753	 1.777	
 7213720	5086	 4.66	 0.8565	11.366	 0.072	
 7213849	4818	 4.43	 0.7867	28.870	 0.297	
 7214170	4933	 4.57	 0.8169	21.934	 0.321	
 7214228	5722	 4.29	 1.0255	21.647	 0.444	
 7214363	6020	 4.43	 1.1131	 8.178	 0.051	
 7214582	4609	 4.52	 0.7306	36.834	 1.054	SM1
 7214667	5996	 4.56	 1.1058	12.939	 0.085	
 7214842	5045	 4.54	 0.8459	32.729	 0.969	
 7214880	4928	 4.65	 0.8155	23.413	 0.225	
 7215027	5854	 4.64	 1.0633	 4.209	 0.167	
 7215184	5082	 4.86	 0.8555	24.153	 0.219	
 7215369	5944	 4.58	 1.0900	12.646	 0.106	
 7215790	5834	 4.34	 1.0575	 4.355	 0.216	
 7215883	5137	 4.63	 0.8697	29.338	 2.201	
 7215906	5645	 4.64	 1.0041	 9.623	 0.015	
 7215936	5997	 4.45	 1.1061	 4.275	 0.029	
 7216003	6408	 4.36	 1.2424	 1.380	 0.004	
 7216493	5280	 4.48	 0.9068	11.389	 0.021	
 7216511	5127	 4.02	 0.8671	29.619	 4.798	
 7216616	6102	 4.40	 1.1388	 0.976	 0.003	
 7216758	4888	 4.47	 0.8051	14.417	 0.030	
 7217059	5865	 4.57	 1.0666	 3.339	 0.008	
 7217101	5158	 4.50	 0.8751	 5.685	 0.015	
 7217453	5251	 4.53	 0.8992	 4.455	 0.006	
 7217481	6162	 4.26	 1.1581	14.261	 0.018	
 7217720	5613	 4.42	 0.9953	17.910	 2.960	
 7217829	5546	 4.27	 0.9771	10.548	 0.401	
 7217965	5466	 4.50	 0.9557	25.656	 1.905	
 7218894	4724	 4.49	 0.7617	14.906	 0.120	
 7218950	5130	 4.58	 0.8679	 1.946	 0.004	
 7219000	5880	 4.37	 1.0710	 1.867	 0.008	
 7219091	4603	 4.44	 0.7290	43.757	 2.524	
 7219239	4654	 4.57	 0.7429	29.836	 0.343	
 7219540	4842	 4.55	 0.7930	15.427	 0.041	
 7219625	5826	 4.57	 1.0552	 5.691	 0.026	
 7219691	5464	 4.53	 0.9551	16.961	 0.378	
 7220048	5822	 4.80	 1.0540	15.432	 0.081	
 7220098	5594	 4.50	 0.9901	14.969	 0.162	
 7220436	5550	 4.17	 0.9782	11.465	 0.028	
 7220508	5531	 4.33	 0.9730	22.929	 0.378	
 7220604	5158	 4.43	 0.8751	 9.324	 0.044	
 7220674	5684	 4.53	 1.0149	13.257	 0.081	
 7220715	5680	 4.80	 1.0138	14.296	 0.063	
 7220771	4620	 4.02	 0.7336	27.505	 0.630	
 7220809	5563	 4.59	 0.9817	21.927	 0.180	
 7220846	5265	 4.72	 0.9029	24.103	 0.417	
 7220958	4882	 4.33	 0.8035	32.604	 0.264	
 7221027	4992	 4.30	 0.8322	36.300	 6.317	
 7221039	5693	 4.55	 1.0174	 4.462	 0.030	
 7221316	5389	 4.70	 0.9353	 7.760	 0.023	
 7221541	5645	 4.56	 1.0041	16.466	 0.197	
 7221584	6292	 4.17	 1.2016	 1.169	 0.021	
 7221755	5577	 4.45	 0.9855	16.544	 0.376	
 7222203	6101	 4.43	 1.1385	 4.627	 0.005	
 7222208	6193	 4.37	 1.1683	 3.392	 0.074	
 7222939	4714	 4.66	 0.7591	 0.725	 0.209	
 7254760	6331	 4.17	 1.2151	 2.660	 0.003	
 7254812	4907	 4.49	 0.8101	15.507	 0.319	
 7254816	6087	 4.20	 1.1341	15.472	 0.296	
 7254864	5960	 4.18	 1.0948	18.147	 0.078	
 7254989	5324	 4.43	 0.9182	26.178	 0.508	
 7255509	5433	 4.61	 0.9469	24.434	 0.146	
 7255952	5628	 4.41	 0.9994	22.237	 0.370	
 7256281	5418	 4.56	 0.9429	14.904	 0.072	
 7256395	5161	 4.56	 0.8759	26.665	 0.190	
 7256548	5306	 4.92	 0.9135	 6.253	 0.012	
 7256857	5553	 4.53	 0.9790	21.711	 4.778	
 7256960	6452	 4.36	 1.2584	 4.056	 0.474	
 7256966	4765	 4.46	 0.7727	29.641	 0.235	
 7257035	6227	 4.21	 1.1796	 4.704	 0.036	
 7257089	5357	 5.02	 0.9269	20.218	 0.112	
 7257093	5696	 4.50	 1.0182	11.213	 0.047	
 7257095	5309	 4.51	 0.9143	11.036	 0.047	
 7257681	5035	 4.74	 0.8433	19.338	 0.058	
 7257721	4767	 4.63	 0.7732	18.050	 0.225	
 7257815	5062	 4.53	 0.8503	26.446	 0.483	
 7257855	4407	 4.60	 0.6739	17.938	 0.062	
 7258762	5330	 4.37	 0.9198	27.307	 0.530	
 7258965	5087	 4.84	 0.8568	17.461	 0.010	
 7259125	4818	 4.53	 0.7867	19.006	 0.170	
 7259391	4881	 4.40	 0.8033	15.990	 0.180	
 7259676	5057	 4.29	 0.8490	 6.873	 0.034	
 7260385	4803	 4.36	 0.7828	32.541	 0.123	
 7260386	4942	 4.49	 0.8192	20.767	 0.023	
 7260388	5543	 3.85	 0.9763	28.903	 4.555	
 7262612	5962	 4.26	 1.0954	18.984	 0.188	SM2
 7264651	5411	 4.39	 0.9411	16.146	 0.092	
 7264671	5041	 4.49	 0.8449	 7.048	 0.021	
 7264976	5184	 4.05	 0.8819	12.390	 0.097	
 7265105	6142	 4.37	 1.1517	 9.609	 0.148	
 7265200	5160	 4.44	 0.8757	27.459	 1.459	
 7265401	5277	 4.53	 0.9060	27.713	 0.541	
 7265569	4864	 4.64	 0.7988	34.957	 0.450	
 7266030	5318	 4.63	 0.9167	25.046	 0.338	
 7266123	4630	 4.30	 0.7364	36.392	 0.233	
 7266412	5188	 4.49	 0.8829	25.491	 0.337	
 7266478	5078	 4.65	 0.8545	 1.203	 0.004	
 7266533	5299	 4.44	 0.9117	24.732	 0.217	
 7266805	5480	 4.50	 0.9594	14.739	 0.225	
 7266877	6079	 4.61	 1.1315	11.981	 0.226	
 7267046	6266	 4.28	 1.1927	 8.593	 0.071	
 7267368	5249	 4.19	 0.8987	30.395	 0.871	
 7267385	6358	 4.18	 1.2246	 3.776	 0.029	
 7267578	4854	 4.28	 0.7962	23.891	 0.050	
 7267654	5332	 4.44	 0.9203	25.547	 0.360	
 7267780	4755	 4.79	 0.7700	33.524	 0.158	
 7267825	6115	 4.65	 1.1430	13.360	 0.284	
 7267938	6067	 4.51	 1.1278	12.338	 0.129	
 7267949	5413	 4.41	 0.9416	25.109	 0.457	
 7268506	6012	 4.39	 1.1107	11.719	 0.347	
 7268847	5524	 4.83	 0.9712	15.145	 0.035	
 7268907	5756	 4.46	 1.0351	20.669	 2.167	
 7269420	4852	 4.24	 0.7957	10.997	 0.028	
 7270472	4693	 4.46	 0.7534	32.222	 3.635	
 7270548	6107	 4.21	 1.1404	10.942	 1.252	
 7270773	5034	 4.50	 0.8431	31.204	 0.774	
 7270908	5393	 4.50	 0.9363	23.533	 0.247	
 7271556	5748	 4.04	 1.0329	22.562	 0.499	
 7272009	5292	 4.90	 0.9099	19.048	 0.509	
 7272273	4953	 4.62	 0.8221	27.602	 0.664	
 7272294	4991	 4.44	 0.8319	33.035	 0.180	
 7272437	5918	 4.26	 1.0822	 8.728	 0.084	
 7272511	5149	 4.57	 0.8728	23.485	 0.081	
 7272606	5236	 4.44	 0.8953	21.385	 0.181	
 7273203	4876	 4.43	 0.8020	29.890	 0.677	
 7273688	4837	 4.28	 0.7917	15.657	 0.038	
 7273859	5593	 4.45	 0.9898	17.949	 0.212	
 7273910	5607	 4.89	 0.9937	21.768	 0.264	
 7273960	4948	 4.64	 0.8208	34.162	 2.533	
 7274081	6208	 4.06	 1.1733	 4.232	 0.177	
 7280687	5311	 4.39	 0.9148	 0.570	 0.005	
 7280785	4984	 4.55	 0.8301	16.349	 0.053	SM2
 7281616	4928	 4.81	 0.8155	24.351	 0.158	
 7281668	5480	 3.95	 0.9594	16.340	 0.082	
 7281699	5398	 4.70	 0.9376	18.643	 0.089	
 7282108	5643	 4.55	 1.0035	14.125	 0.050	
 7282182	5557	 4.77	 0.9801	 5.446	 0.012	
 7282194	5859	 4.46	 1.0648	23.638	 0.112	
 7282434	5111	 4.58	 0.8630	12.333	 0.019	
 7282525	5076	 4.54	 0.8539	15.276	 0.111	
 7282610	5771	 4.52	 1.0394	14.158	 0.214	
 7282739	5611	 4.43	 0.9948	14.119	 0.373	
 7283180	5751	 4.58	 1.0337	17.269	 0.041	
 7283273	5932	 4.43	 1.0864	 7.857	 0.010	
 7283298	5646	 4.66	 1.0044	 9.398	 0.024	
 7283444	5740	 4.52	 1.0306	 6.249	 0.092	
 7283507	6448	 4.10	 1.2570	 1.758	 0.007	
 7283604	6262	 4.44	 1.1914	 6.001	 0.010	
 7283959	5096	 4.67	 0.8591	10.038	 0.011	
 7284028	5438	 4.60	 0.9482	22.244	 0.459	
 7284119	5335	 4.59	 0.9211	 9.791	 0.016	
 7284329	4850	 4.34	 0.7951	17.899	 0.013	
 7284385	5623	 4.56	 0.9980	26.349	 4.100	
 7284393	5272	 4.68	 0.9047	14.468	 0.042	
 7284415	5120	 4.64	 0.8653	18.981	 0.037	
 7284498	5309	 4.43	 0.9143	17.514	 0.164	
 7284545	5219	 4.35	 0.8909	24.556	 1.268	
 7284610	5084	 4.56	 0.8560	20.708	 0.149	
 7284662	4890	 4.42	 0.8056	37.937	 2.240	
 7284743	5085	 4.71	 0.8563	26.542	 0.602	
 7284744	5162	 4.29	 0.8762	15.985	 0.116	
 7284771	4690	 4.38	 0.7526	36.127	 0.887	
 7284787	5289	 4.65	 0.9091	29.332	 1.129	
 7284789	4652	 4.57	 0.7423	16.490	 0.106	
 7284908	4710	 4.29	 0.7580	19.297	 0.118	
 7285057	5198	 4.71	 0.8855	31.545	 1.475	
 7285152	4759	 4.39	 0.7711	25.232	 0.082	
 7285217	5223	 4.56	 0.8920	24.794	 1.157	
 7285392	4729	 4.66	 0.7631	15.161	 0.033	
 7285495	5272	 4.69	 0.9047	30.519	 1.254	
 7285641	4995	 4.04	 0.8330	10.037	 0.018	
 7285775	6054	 4.42	 1.1237	 8.589	 0.011	
 7285973	4993	 3.93	 0.8324	31.560	 4.070	
 7286116	5951	 4.52	 1.0921	23.843	 0.439	
 7286309	6091	 4.59	 1.1353	 3.752	 0.044	BQR
 7286670	5110	 4.50	 0.8627	10.880	 0.015	
 7286880	6364	 4.14	 1.2267	 5.864	 0.088	
 7287028	5782	 4.61	 1.0425	11.636	 0.091	
 7287128	5064	 4.51	 0.8508	 7.885	 0.042	
 7287159	5433	 4.45	 0.9469	15.974	 0.260	
 7287162	6365	 4.28	 1.2270	 5.348	 0.091	
 7287324	5650	 4.55	 1.0055	 6.709	 0.099	
 7287592	6409	 4.34	 1.2428	 2.732	 0.017	
 7287601	5461	 4.57	 0.9543	15.659	 0.185	
 7287639	5905	 4.84	 1.0783	10.303	 0.091	
 7287735	5377	 4.95	 0.9321	10.898	 0.053	
 7287808	5282	 4.38	 0.9073	24.185	 0.551	
 7288213	4521	 4.43	 0.7063	28.556	 5.819	
 7288252	6056	 4.43	 1.1243	 9.654	 0.093	
 7288276	5287	 4.78	 0.9086	21.563	 0.560	
 7288587	5167	 4.77	 0.8775	15.213	 0.035	
 7288671	5885	 4.67	 1.0724	 7.503	 0.028	
 7288983	5683	 4.43	 1.0146	17.251	 0.089	
 7289057	6071	 4.48	 1.1290	 2.392	 0.008	
 7289124	6306	 4.56	 1.2064	 1.013	 0.042	
 7289133	5668	 4.63	 1.0105	 9.917	 0.024	
 7289415	5524	 4.51	 0.9712	15.092	 0.015	
 7292312	5245	 4.30	 0.8977	25.933	 0.741	
 7292373	5490	 4.35	 0.9621	20.013	 1.061	
 7292514	5869	 4.36	 1.0677	12.908	 0.054	
 7292810	5354	 4.77	 0.9261	14.260	 0.011	
 7292833	4824	 4.50	 0.7883	34.014	 0.609	
 7293416	5910	 4.33	 1.0798	 4.758	 0.092	
 7293429	4862	 4.84	 0.7983	35.006	 0.394	
 7293474	5533	 4.51	 0.9736	11.722	 0.031	
 7293547	4680	 4.58	 0.7499	19.884	 0.085	
 7293590	4994	 4.38	 0.8327	29.291	 0.652	
 7293816	5712	 4.46	 1.0227	 4.091	 0.022	
 7294088	5104	 4.36	 0.8612	25.131	 0.197	
 7294095	4926	 4.50	 0.8150	15.648	 0.169	
 7294197	4690	 4.51	 0.7526	19.418	 0.157	
 7294684	5780	 4.30	 1.0420	 7.329	 0.012	
 7294702	5493	 4.33	 0.9629	20.648	 0.639	
 7294817	5529	 4.53	 0.9725	19.764	 0.108	
 7294836	6199	 4.17	 1.1703	 1.440	 0.004	
 7294867	5116	 4.33	 0.8643	 1.046	 0.003	
 7295076	4720	 4.48	 0.7607	24.195	 0.293	
 7295239	5076	 4.43	 0.8539	17.879	 0.149	
 7295255	5030	 4.53	 0.8420	16.394	 0.042	
 7295344	5025	 4.56	 0.8407	12.086	 0.036	
 7295345	5846	 4.38	 1.0610	13.614	 0.323	
 7295372	6221	 4.21	 1.1776	 0.540	 0.003	
 7295373	4407	 4.45	 0.6739	 9.696	 0.005	
 7295496	5514	 4.34	 0.9685	12.296	 0.054	
 7295508	6050	 3.69	 1.1224	 0.885	 0.005	
 7295639	6446	 4.06	 1.2562	 4.806	 0.023	
 7295809	6073	 4.45	 1.1297	10.522	 0.092	
 7296077	4848	 4.34	 0.7946	31.013	 0.346	
 7296230	5790	 4.48	 1.0448	17.882	 1.065	
 7296315	5277	 4.57	 0.9060	16.018	 0.042	
 7296479	5025	 4.46	 0.8407	34.966	 0.768	
 7296609	5285	 4.47	 0.9081	19.740	 0.015	
 7296631	5399	 4.42	 0.9379	22.630	 0.213	
 7296637	5998	 4.35	 1.1064	 9.815	 0.260	
 7296659	5266	 4.53	 0.9031	10.193	 0.010	
 7296882	6373	 4.03	 1.2299	 2.115	 0.594	
 7296915	5285	 4.41	 0.9081	27.813	 0.555	
 7296970	4426	 4.68	 0.6793	34.023	 0.887	
 7297489	6035	 4.33	 1.1178	11.918	 0.180	
 7297647	5487	 4.29	 0.9613	13.318	 0.298	
 7297670	5653	 4.33	 1.0063	25.041	 4.837	
 7298602	5168	 4.37	 0.8777	18.315	 0.039	
 7298822	5318	 4.44	 0.9167	10.331	 0.033	
 7299301	4979	 4.12	 0.8288	10.648	 0.047	
 7299808	5643	 4.50	 1.0035	15.180	 0.194	
 7299911	6251	 4.33	 1.1876	 1.139	 0.018	
 7300031	6185	 4.20	 1.1657	15.781	 0.009	SM2
 7300065	4853	 4.33	 0.7959	10.446	 0.057	
 7300150	5467	 4.40	 0.9559	17.848	 0.508	
 7300182	5945	 4.67	 1.0903	 7.975	 0.073	
 7300533	5038	 4.27	 0.8441	31.060	 1.117	
 7300572	5808	 4.51	 1.0500	10.988	 0.042	
 7300929	5200	 4.67	 0.8860	24.716	 0.216	
 7301057	5172	 4.55	 0.8788	32.962	 0.210	
 7301073	5949	 4.48	 1.0915	11.243	 0.301	
 7301142	5914	 4.25	 1.0810	13.558	 0.228	
 7301333	5473	 4.28	 0.9575	27.947	 0.274	
 7301570	4420	 4.56	 0.6776	27.631	 0.318	
 7301798	5004	 4.64	 0.8353	13.181	 0.055	
 7301895	6001	 4.42	 1.1073	 8.546	 0.021	
 7302009	4967	 4.32	 0.8257	29.128	 4.392	
 7302450	5562	 4.31	 0.9814	21.772	 2.487	
 7302689	5276	 4.49	 0.9057	29.948	 1.074	
 7302757	5701	 4.26	 1.0196	20.064	 0.279	
 7302940	5080	 4.45	 0.8550	 7.464	 0.010	
 7303800	5661	 4.30	 1.0085	13.403	 0.197	
 7303957	5559	 4.31	 0.9806	20.326	 0.283	
 7304157	5305	 4.36	 0.9133	20.590	 0.016	
 7305172	5716	 4.33	 1.0238	10.482	 1.822	
 7334972	4516	 4.59	 0.7049	26.152	 0.844	
 7335017	5232	 4.50	 0.8943	11.651	 0.082	
 7335019	5125	 4.47	 0.8666	11.813	 0.165	
 7335065	5074	 4.57	 0.8534	23.081	 0.446	
 7335193	4776	 4.53	 0.7756	17.927	 0.031	
 7335267	5193	 4.53	 0.8842	31.458	 3.510	
 7335593	6225	 4.40	 1.1789	 4.559	 0.021	
 7335602	5965	 4.40	 1.0963	14.216	 0.028	
 7335905	5274	 4.27	 0.9052	11.216	 0.023	
 7336173	5656	 4.13	 1.0071	37.974	 0.932	
 7336226	5422	 4.38	 0.9440	23.427	 2.975	
 7336433	4831	 4.58	 0.7901	13.678	 0.188	
 7336548	4707	 4.53	 0.7572	26.088	 0.235	
 7336608	5863	 4.51	 1.0660	15.215	 0.046	
 7336659	5477	 4.53	 0.9586	14.108	 0.140	
 7336662	5190	 4.54	 0.8834	20.144	 0.219	
 7336783	5590	 4.48	 0.9890	13.318	 0.024	
 7337863	5821	 4.21	 1.0537	13.377	 0.331	
 7338414	4935	 4.54	 0.8174	26.268	 0.188	
 7338419	5701	 4.45	 1.0196	22.937	 0.185	
 7338459	6148	 4.26	 1.1536	11.512	 0.171	BQR
 7339002	6441	 4.31	 1.2544	 1.318	 0.234	
 7339175	5015	 4.51	 0.8381	27.698	 0.654	
 7339738	4873	 4.38	 0.8012	 9.733	 0.013	
 7340082	5236	 4.42	 0.8953	11.636	 0.031	
 7340085	6024	 4.37	 1.1144	 8.249	 0.012	
